00 a 04,05 a 09,10 a 14,15 a 19,20 a 29,30 a 39,40 a 49,50 a 59,60 a 69,70 a 79,80 ou mais,Idade ignorada,,,Pop. Mundial(1),Pop. Brasil(2),
Alagoas,"0,05","0,04","0,13","0,36","1,48","6,68","21,46","46,53","84,73","142,88","216,07",0,"18,48",8,"20,23","21,73"
Bahia,"0,02","0,03","0,08","0,16","1,01","6,3","19,55","43,51","83,83","133,34","223,31",0,"20,27",7,"19,31","20,77"
Ceará,"0,02",0,"0,07","0,21","1,19","7,2","22,47","58,51","120,74",216,"345,33",0,"28,54",1,"27,43","29,57"
Maranhão,"0,04","0,02","0,16","0,22","1,41","8,11","22,42","45,48","90,04","155,56","208,67",0,"17,64",9,"21,08","22,57"
Paraíba,"0,05",0,"0,08","0,39","1,42","6,5","20,73","47,1","96,11","162,22","289,46",0,"24,74",4,"22,27","24,09"
Pernambuco,"0,02","0,02","0,02","0,28","1,37","7,77","23,41","57,04",112,"190,65","324,14",0,"27,17",2,"25,93","27,99"
Piauí,"0,06",0,"0,05","0,26","1,49","8,04","21,86","49,27","107,25","181,74","329,43",0,"24,6",5,"24,55","26,61"
Rio Grande do Norte,"0,16","0,05",0,"0,34","1,2","6,81","21,21","54,72","111,04","192,42","301,09",0,"26,79",3,"25,09","26,97"
Sergipe,0,0,0,"0,21","1,43","9,51","24,62","56,05","104,82","173,45","304,87",0,"23,29",6,"24,98","27,03"
Brasil,"0,04","0,02","0,05","0,22","1,41","7,78","23,09","59,37","128,04","226,65","354,56",0,"32,48",,"28,61","30,8"